,state,act_2018_participation_rate,act_2018_composite_score,sat_2018_participation_rate,sat_2018_reading_and_composite_score,sat_2018_math_score,sat_2018_total_score,act_2017_participation_rate,act_2017_english_score,act_2017_math_score,act_2017_reading_score,act_2017_science_score,act_2017_composite_score,sat_2017_participation_rate,sat_2017_reading_and_composite_score,sat_2017_math_score,sat_2017_total_score
0,Alabama,100.0,19.1,6.0,595,571,1166,100.0,18.9,18.4,19.7,19.4,19.2,5.0,593,572,1165
1,Alaska,33.0,20.8,43.0,562,544,1106,65.0,18.7,19.8,20.4,19.9,19.8,38.0,547,533,1080
2,Arizona,66.0,19.2,29.0,577,572,1149,62.0,18.6,19.8,20.1,19.8,19.7,30.0,563,553,1116
3,Arkansas,100.0,19.4,5.0,592,576,1169,100.0,18.9,19.0,19.7,19.5,19.4,3.0,614,594,1208
4,California,27.0,22.7,60.0,540,536,1076,31.0,22.5,22.7,23.1,22.2,22.8,53.0,531,524,1055
5,Colorado,30.0,23.9,100.0,519,506,1025,100.0,20.1,20.3,21.2,20.9,20.8,11.0,606,595,1201
6,Connecticut,26.0,25.6,100.0,535,519,1053,31.0,25.5,24.6,25.6,24.6,25.2,100.0,530,512,1041
7,Delaware,17.0,23.8,100.0,505,492,998,18.0,24.1,23.4,24.8,23.6,24.1,100.0,503,492,996
8,Florida,66.0,19.9,56.0,550,549,1099,73.0,19.0,19.4,21.0,19.4,19.8,83.0,520,497,1017
9,Georgia,53.0,21.4,70.0,542,522,1064,55.0,21.0,20.9,22.0,21.3,21.4,61.0,535,515,1050
10,Hawaii,89.0,18.9,56.0,480,530,1010,90.0,17.8,19.2,19.2,19.3,19.0,55.0,544,541,1085
11,Idaho,36.0,22.3,100.0,508,493,1001,38.0,21.9,21.8,23.0,22.1,22.3,93.0,513,493,1005
12,Illinois,43.0,23.9,99.0,513,506,1019,93.0,21.0,21.2,21.6,21.3,21.4,9.0,559,556,1115
13,Indiana,32.0,22.5,63.0,542,532,1074,35.0,22.0,22.4,23.2,22.3,22.6,63.0,542,532,1074
14,Iowa,68.0,21.8,3.0,634,631,1265,67.0,21.2,21.3,22.6,22.1,21.9,2.0,641,635,1275
15,Kansas,71.0,21.6,4.0,633,631,1265,73.0,21.1,21.3,22.3,21.7,21.7,4.0,632,628,1260
16,Kentucky,100.0,20.2,4.0,630,618,1248,100.0,19.6,19.4,20.5,20.1,20.0,4.0,631,616,1247
17,Louisiana,100.0,19.2,4.0,615,595,1210,100.0,19.4,18.8,19.8,19.6,19.5,4.0,611,586,1198
18,Maine,7.0,24.0,99.0,512,501,1013,8.0,24.2,24.0,24.8,23.7,24.3,95.0,513,499,1012
19,Maryland,31.0,22.5,76.0,545,535,1080,28.0,23.3,23.1,24.2,23.3,23.6,69.0,536,524,1060
20,Massachusetts,25.0,25.5,80.0,562,563,1125,29.0,25.4,25.3,25.9,24.7,25.4,76.0,555,551,1107
21,Michigan,22.0,24.4,100.0,511,499,1011,29.0,24.1,23.7,24.5,23.8,24.1,100.0,509,495,1005
22,Minnesota,99.0,21.3,4.0,643,655,1298,100.0,20.4,21.5,21.8,21.6,21.5,3.0,644,651,1295
23,Mississippi,100.0,18.6,3.0,630,606,1236,100.0,18.2,18.1,18.8,18.8,18.6,2.0,634,607,1242
24,Missouri,100.0,20.0,4.0,633,629,1262,100.0,19.8,19.9,20.8,20.5,20.4,3.0,640,631,1271
25,Montana,100.0,20.0,10.0,606,592,1198,100.0,19.0,20.2,21.0,20.5,20.3,10.0,605,591,1196
26,Nebraska,100.0,20.1,3.0,629,623,1252,84.0,20.9,20.9,21.9,21.5,21.4,3.0,629,625,1253
27,Nevada,100.0,17.7,23.0,574,566,1140,100.0,16.3,18.0,18.1,18.2,17.8,26.0,563,553,1116
28,New Hampshire,16.0,25.1,96.0,535,528,1063,18.0,25.4,25.1,26.0,24.9,25.5,96.0,532,520,1052
29,New Jersey,31.0,23.7,82.0,547,547,1094,34.0,23.8,23.8,24.1,23.2,23.9,70.0,530,526,1056
30,New Mexico,66.0,19.4,16.0,552,540,1093,66.0,18.6,19.4,20.4,20.0,19.7,11.0,577,561,1138
31,New York,27.0,24.5,79.0,534,534,1068,31.0,23.8,24.0,24.6,23.9,24.2,67.0,528,523,1052
32,North Carolina,100.0,19.1,52.0,554,543,1098,100.0,17.8,19.3,19.6,19.3,19.1,49.0,546,535,1081
33,North Dakota,98.0,20.3,2.0,640,643,1283,98.0,19.0,20.4,20.5,20.6,20.3,2.0,635,621,1256
34,Ohio,100.0,20.3,18.0,552,547,1099,75.0,21.2,21.6,22.5,22.0,22.0,12.0,578,570,1149
35,Oklahoma,100.0,19.3,8.0,541,521,1062,100.0,18.5,18.8,20.1,19.6,19.4,7.0,530,517,1047
36,Oregon,42.0,21.3,48.0,564,553,1117,40.0,21.2,21.5,22.4,21.7,21.8,43.0,560,548,1108
37,Pennsylvania,20.0,23.5,70.0,547,539,1086,23.0,23.4,23.4,24.2,23.3,23.7,65.0,540,531,1071
38,Rhode Island,15.0,24.2,97.0,513,505,1018,21.0,24.0,23.3,24.7,23.4,24.0,71.0,539,524,1062
39,South Carolina,100.0,18.3,55.0,547,523,1070,100.0,17.5,18.6,19.1,18.9,18.7,50.0,543,521,1064
40,South Dakota,77.0,21.9,3.0,622,618,1240,80.0,20.7,21.5,22.3,22.0,21.8,3.0,612,603,1216
41,Tennessee,100.0,19.6,6.0,624,607,1231,100.0,19.5,19.2,20.1,19.9,19.8,5.0,623,604,1228
42,Texas,41.0,20.6,66.0,520,512,1032,45.0,19.5,20.7,21.1,20.9,20.7,62.0,513,507,1020
43,Utah,100.0,20.4,4.0,480,530,1010,100.0,19.5,19.9,20.8,20.6,20.3,3.0,624,614,1238
44,Vermont,24.0,24.1,64.0,565,554,1120,29.0,23.3,23.1,24.4,23.2,23.6,60.0,562,551,1114
45,Virginia,24.0,23.9,68.0,567,550,1117,29.0,23.5,23.3,24.6,23.5,23.8,65.0,561,541,1102
46,Washington,24.0,22.2,69.0,543,538,1081,29.0,20.9,21.9,22.1,22.0,21.9,64.0,541,534,1075
47,West Virginia,65.0,20.3,28.0,513,486,999,69.0,20.0,19.4,21.2,20.5,20.4,14.0,558,528,1086
48,Wisconsin,100.0,20.5,3.0,641,653,1294,100.0,19.7,20.4,20.6,20.9,20.5,3.0,642,649,1291
49,Wyoming,100.0,20.0,3.0,633,625,1257,100.0,19.4,19.8,20.8,20.6,20.2,3.0,626,604,1230
